Sigma,D_ACF,D,Nf,lmax
0,1.0506725393398,1.05032918497571,34110.4292593922,20686.2803734225
0.00502020202020202,1.12819078678557,1.12770553593951,38100.8668789013,11539.1253422013
0.010040404040404,1.20290140206787,1.20222674862863,42251.8890087306,7042.58070055957
0.0150606060606061,1.27489931658214,1.27397594626612,46565.131117833,4614.95174297489
0.0200808080808081,1.34427946172385,1.34303456074799,51041.1059953629,3202.09927476587
0.0251010101010101,1.41113676888846,1.40948239421855,55679.0538178168,2327.95672178237
0.0301212121212121,1.47556616947143,1.47339774846169,60476.8108290889,1759.05910294358
0.0351414141414141,1.53766259486822,1.53485763031811,65430.7086521047,1372.80239702937
0.0401616161616162,1.5975209764743,1.593938616159,70535.8185717471,1100.98002498256
0.0451818181818182,1.65523624568512,1.65072556369657,75790.2529081751,903.73593514702
0.0502020202020202,1.71090333389615,1.70535206900148,81217.9949088302,756.775321061865
0.0552222222222222,1.76461717250284,1.75807315008973,86915.3436343297,644.733913241511
0.0602424242424242,1.81647269290066,1.8092882484544,93079.7339282152,557.57560908209
0.0652626262626263,1.86656482648507,1.85944650041831,99975.5507083279,488.556861934122
0.0702828282828283,1.91498850465152,1.90889374074375,107855.740340971,433.035529156968
0.0753030303030303,1.96183865879549,1.95777293232328,116885.067369889,387.732839889392
0.0803232323232323,2.00721022031243,2.00601883302055,127113.613267944,350.298885809033
0.0853434343434343,2.0511981205978,2.05342344622985,138470.394271762,319.005163814343
0.0903636363636364,2.09389729104707,2.09971555617642,150791.707048142,292.568844650255
0.0953838383838384,2.13540266305568,2.14462971425439,163845.226862099,270.01705141487
0.10040404040404,2.17580916801912,2.18794203308037,177369.019625486,250.61219870425
0.105424242424242,2.21521173733283,2.2294911856203,191091.669322821,233.781602588386
0.110444444444444,2.25370530239228,2.269198119966,204723.5987178,219.052566713126
0.115464646464646,2.29138479459292,2.30700463881076,218063.406064087,206.098792453729
0.120484848484848,2.32834514533023,2.34294587742828,230863.488969102,194.603343887938
0.125505050505051,2.36468128599966,2.37706461301366,242960.399017929,184.342027516792
0.130525252525253,2.40048814799666,2.40940726843203,254277.703729012,175.153277334556
0.135545454545455,2.43586066271671,2.44010217846409,264633.153558202,166.840746083112
0.140565656565657,2.47089376155527,2.46924226340186,273960.95632137,159.282829749492
0.145585858585859,2.50568237590778,2.49688098657199,282348.109084664,152.418443666897
0.150606060606061,2.54032143716973,2.52314551299786,289715.92177612,146.132653661014
0.155626262626263,2.57490587673656,2.54815937356998,295975.851138087,140.326771666214
0.160646464646465,2.60953062600374,2.57201040174922,301134.027564473,134.941906331246
0.165666666666667,2.64429061636672,2.59476660078424,305263.118224066,129.940571248919
0.170686868686869,2.67928077922098,2.61646662802131,308566.291340828,125.314282382507
0.175707070707071,2.71459604596196,2.63719805451185,311034.792716207,121.009661392878
0.180727272727273,2.75033134798514,2.65705656540617,312552.064994383,116.963053785319
0.185747474747475,2.78658161668597,2.67610544765745,313088.969462227,113.137501620604
